Bank_Number,Branch_Number,National_Clearing_Code,BIC,Bank_Name,Branch_Information,City,Physical_Address1,Physical_Address2,Physical_Address3,Physical_Address4,Post_Code,Location,Country_Name,POB_Number,POB_Location1,POB_Location2,POB_Location3,POB_Post_Code,POB_Country,STD,Phone,Fax,Retail,BIC_Plus_Indicator,Latest_Status
01,0001,010001,,ANZ Bank New Zealand,ANZ Retail 1,Wellington,215-229 Lambton Quay,,,,6001,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,496-7360,,N,A
01,0004,010004,,ANZ Bank New Zealand,ANZ Retail 2,Wellington,215-229 Lambton Quay,,,,6001,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,496-7360,,,A
01,0008,010008,,ANZ Bank New Zealand,International Services,Wellington,237-243 Willis Street,,,,,,New Zealand,PO Box 1492,Wellington,,,,New Zealand,(04),381-6574,801-7293,,N,A
01,0009,010009,,ANZ Bank New Zealand,ANZ Retail 3,Wellington,215-229 Lambton Quay,,,,6001,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,496-7360,,Y,A
01,0011,010011,,ANZ Bank New Zealand,Head Office,Wellington,215-229 Lambton Quay,,,,6001,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,496-7360,,Y,A
01,0030,010030,,ANZ Bank New Zealand,Bonus Bonds,Wellington,Level 5,10 Custom House Quay,,,6021,,New Zealand,,,,,,,,,,,N,A
01,0034,010034,,ANZ Bank New Zealand,Online Business,Auckland,656 Great South Road,,,,,,New Zealand,PO Box 99026,Auckland,,,,New Zealand,,0800 269 249,,,N,A
01,0042,010042,,ANZ Bank New Zealand,Asian Banking Central,Wellington,215-229 Lambton Quay,Level 1,,,,,New Zealand,PO Box 1393,Wellington,,,,New Zealand,(04),0800 269 249,473 3238,,N,A
01,0050,010050,,ANZ Bank New Zealand,ANZ Contact Centre,Wellington,215-229 Lambton Quay,,,,6001,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,496-7360,,N,A
01,0053,010053,,ANZ Bank New Zealand,ANZ Custodian Services,Wellington,215-229 Lambton Quay,Level 14,ANZ Tower,,,,New Zealand,PO Box 1492,Wellington,,,,New Zealand,(04),496-7000,470-5160,,N,A
01,0055,010055,,ANZ Bank New Zealand,EDS Test Branch,Wellington,Caltex Tower,Level 3,,,,,New Zealand,PO Box 1492,Wellington,,,,New Zealand,(09),522-3550,522-3630,,N,A
01,0058,010058,,ANZ Bank New Zealand,ANZ NZ Headquarters,Wellington,215-229 Lambton Quay,,,,,,New Zealand,PO Box 1492,Wellington,,,,New Zealand,(04),496-7000,496-7360,,Y,A
01,0066,010066,,ANZ Bank New Zealand,Admin Test File,Wellington,Caltex Tower,Level 3,,,,,New Zealand,PO Box 1492,Wellington,,,,New Zealand,(04),802-2700,802-2723,,Y,A
01,0069,010069,,ANZ Bank New Zealand,Systems Test Branch,Wellington,Caltex Tower,Level 5,,,,,New Zealand,PO Box 1492,Wellington,,,,New Zealand,(04),802-2700,802-2723,,Y,A
01,0070,010070,,ANZ Bank New Zealand,Lending Service,Auckland,107 Carlton Gore Road,"UDC House, Level 3",Newmarket,,,,New Zealand,PO Box 2218,Shortland Street,Auckland,,1140,New Zealand,(09),252 5647,529-4531,,N,A
01,0071,010071,,ANZ Bank New Zealand,New Resident Services,Auckland,203 Queen Street,Mezzanine Floor,,,1010,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800-886-680,522-4003,,Y,A
01,0075,010075,,ANZ Bank New Zealand,ANZ Retail 7,Wellington,215-229 Lambton Quay,,,,6001,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,496-7360,,Y,A
01,0077,010077,,ANZ Bank New Zealand,ANZ Retail 8,Wellington,215-229 Lambton Quay,,,,6001,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,496-7360,,N,A
